cep,count,state,region,country,lat,lon
26700000,1,Rio de Janeiro,Região Sudeste,Brasil,-22.5269113,-43.7332604
20550-000,1,Rio de Janeiro,Região Sudeste,Brasil,-22.9229818,-43.2310326
20560-032,1,Rio de Janeiro,Região Sudeste,Brasil,-22.9149152,-43.2518321
Avenida Marques de Herval,1,Mato Grosso do Sul,Região Centro-Oeste,Brasil,-20.4135729,-54.5712399
22743041,1,Rio de Janeiro,Região Sudeste,Brasil,-22.9350185,-43.3515126
04131-000,1,São Paulo,Região Sudeste,Brasil,-23.6071179,-46.61773970000001
69055-035,1,Amazonas,Região Norte,Brasil,-3.0933051,-60.025586200000006
51,1,Marne, Grande Leste,França,48.961264,4.31224359285714
67-010240,1,Pará,Região Norte,Brasil,-1.4018902,-48.421819
60125100,1,Ceará,Região Nordeste,Brasil,-3.7304512,-38.5217989
22050012,1,Rio de Janeiro,Região Sudeste,Brasil,-22.9721962,-43.1865848
37540000,1,Minas Gerais,Região Sudeste,Brasil,-22.2486968,-45.70645070000001
69037000,1,Amazonas,Região Norte,Brasil,-3.0824303,-60.0750064
66060230,2,Pará,Região Norte,Brasil,-1.4482989,-48.46655850000001
66820-170,1,Pará,Região Norte,Brasil,-1.3211056,-48.4360774
59080060,1,Rio Grande do Norte,Região Nordeste,Brasil,-5.805398,-35.20809050000001
78060618,1,Mato Grosso,Região Centro-Oeste,Brasil,-15.6102526,-56.0746784
74305-080,1,Goiás,Região Centro-Oeste,Brasil,-16.680882,-49.2532691
67010550,1,Pará,Região Norte,Brasil,-1.3566807,-48.3858188
68900-074,1,Amapá,Região Norte,Brasil,0.042733,-51.0638151
67113345,1,Pará,Região Norte,Brasil,-1.3835678,-48.4348907
7097380,1,NaN,NAN,NAN,NAN,NAN
66095400,1,Pará,Região Norte,Brasil,-1.3132077,-48.4850446
77006-266,1,Tocantins,Região Norte,Brasil,-10.1835604,-48.3337793
82720-000,1,Paraná,Região Sul,Brasil,-25.3610223,-49.23014420000001
13330120,1,São Paulo,Região Sudeste,Brasil,-23.0893033,-47.2134288
58429145,1,Paraíba,Região Nordeste,Brasil,-7.2218239,-35.8908429
36402014,1,Minas Gerais,Região Sudeste,Brasil,-20.6662081,-43.779457
67013000,1,Pará,Região Norte,Brasil,-1.374035,-48.4016623
70722-010,1,Distrito Federal,Região Centro-Oeste,Brasil,-15.7820238,-47.883443
66070-410,1,NaN,NAN,NAN,NAN,NAN
86015100,1,Paraná,Região Sul,Brasil,-23.3217746,-51.1756858
68908-120 ,1,Amapá,Região Norte,Brasil,0.0223589,-51.0631469
13343400,1,São Paulo,Região Sudeste,Brasil,-23.0956017,-47.2118814
66033390,1,Pará,Região Norte,Brasil,-1.4744238,-48.4812627
Avenida Nazaré,1,Bahia,Região Nordeste,Brasil,-13.8435412,-40.0961025
67145099,1,Pará,Região Norte,Brasil,-1.374035,-48.4016623
66093345,2,Pará,Região Norte,Brasil,-1.4367245000000002,-48.4671349
67118083,1,Pará,Região Norte,Brasil,-1.3963722,-48.3986567
66020020,1,Pará,Região Norte,Brasil,-1.4603961,-48.5037865
67200000,3,Pará,Região Norte,Brasil,-1.3595306,-48.3361504
68600-000,2,Pará,Região Norte,Brasil,-1.0573967,-46.7635406
66063005,1,Pará,Região Norte,Brasil,-1.4537756000000002,-48.4723757
78005700,1,Mato Grosso,Região Centro-Oeste,Brasil,-15.5899501,-56.0926083
66033850,1,Pará,Região Norte,Brasil,-1.4651143999999998,-48.4894503
Rua visconde de caeté 100,1,Minas Gerais,Região Sudeste,Brasil,-18.2291966,-43.6148139
66813285,1,Pará,Região Norte,Brasil,-1.291499,-48.466316600000006
66623t80,1,NaN,NAN,NAN,NAN,NAN
68400000,1,Pará,Região Norte,Brasil,-2.2429490000000003,-49.497885
66080650,1,Pará,Região Norte,Brasil,-1.4254971,-48.475893
70864010,1,Distrito Federal,Região Centro-Oeste,Brasil,-15.750067800000002,-47.8856828
66625160,1,Pará,Região Norte,Brasil,-1.3710392,-48.4511035
79839900,1,Mato Grosso do Sul,Região Centro-Oeste,Brasil,-22.2206145,-54.812208
66623700,1,Paraíba,Região Nordeste,Brasil,-6.7435469,-35.514966458396145
68.680-000,1,Pará,Região Norte,Brasil,-2.4166306,-48.1522907
71680349,1,Distrito Federal,Região Centro-Oeste,Brasil,-15.8441389,-47.8086549
Travessa Curuzú,1,Pará,Região Norte,Brasil,-1.438707,-48.4721873
66610-070,1,Pará,Região Norte,Brasil,-1.4292831,-48.4508585
Avenida Rio Tocantins,1,Paraná,Região Sul,Brasil,-25.6705819,-49.3153062
66033-331,2,Pará,Região Norte,Brasil,-1.45056,-48.4682453
70256-200,1,Distrito Federal,Região Centro-Oeste,Brasil,-15.8204784,-47.8969378
67145125,1,Pará,Região Norte,Brasil,-1.4110728,-48.3950999
68743435,1,Pará,Região Norte,Brasil,-1.2862806999999998,-47.9186068
70736020,1,Distrito Federal,Região Centro-Oeste,Brasil,-15.7760791,-47.8859678
MARIA.MARQUEZINI@ERICSSON.COM,1,NaN,NAN,NAN,NAN,NAN
68750000,1,Pará,Região Norte,Brasil,-0.7276792,-47.856568
69096178,1,Amazonas,Região Norte,Brasil,-3.0329929,-59.974096900000006
Rodolfo Chermont Avenue n 632,2,NaN,NAN,NAN,NAN,NAN
66063000,1,Pará,Região Norte,Brasil,-1.4515671,-48.4708091
66813410,1,Pará,Região Norte,Brasil,-1.3000048,-48.46459779999999
58.039-210,1,Paraíba,Região Nordeste,Brasil,-7.1215981,-34.882028000000005
